City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,mae sot,16.7167,98.5667,74.75,98,100,5.37,TH,1628244113
178,iqaluit,63.7506,-68.5145,42.53,70,90,5.99,CA,1628243941
179,purranque,-40.9167,-73.1667,44.49,98,100,3.6,CL,1628244119
180,belyy yar,53.6039,91.3903,64.29,82,40,2.24,RU,1628244123
181,mapastepec,15.4333,-92.9,75.58,92,100,3.89,MX,1628244129
182,tautira,-17.7333,-149.15,77.02,72,13,4.38,PF,1628244133
183,kavieng,-2.5744,150.7967,82.63,76,86,14.07,PG,1628244136
184,sokoni,-6.4333,39.55,76.68,72,47,12.28,TZ,1628244139
185,rochegda,62.8,43.25,68.59,38,85,4.25,RU,1628244143
186,palmer,42.1584,-72.3287,66.13,83,90,0.0,US,1628244146
187,narsaq,60.9167,-46.05,44.82,84,96,3.27,GL,1628244150
188,dikson,73.5069,80.5464,47.07,97,98,2.55,RU,1628244153
189,wajid,3.8093,43.2471,89.1,30,84,21.72,SO,1628244160
190,sisimiut,66.9395,-53.6735,42.91,87,94,24.47,GL,1628244163
191,synya,65.3718,58.0387,52.56,95,100,4.76,RU,1628244167
192,campanario,38.8644,-5.6174,81.66,24,13,8.39,ES,1628244170
193,luanda,-8.8368,13.2343,78.8,65,75,2.3,AO,1628243966
194,taiobeiras,-15.8078,-42.2331,57.13,89,100,6.46,BR,1628244083
195,cidreira,-30.1811,-50.2056,58.71,94,100,14.85,BR,1628244180
196,chumikan,54.7183,135.315,52.39,97,100,21.56,RU,1628244183
197,cape town,-33.9258,18.4232,68.88,70,0,1.01,ZA,1628243920
198,ambilobe,-13.2,49.05,87.13,35,23,0.65,MG,1628244193
199,shimoda,34.6667,138.95,79.11,88,82,8.12,JP,1628244196
200,klaksvik,62.2266,-6.589,58.12,96,99,11.03,FO,1628244200
201,dimapur,25.9,93.7333,82.38,83,75,4.61,IN,1628244203
202,micheweni,-4.9667,39.8333,78.84,68,51,10.09,TZ,1628244207
203,tarakan,3.3,117.6333,81.9,78,75,4.61,ID,1628244210
204,tyukhtet,56.5389,89.3011,70.74,75,95,2.98,RU,1628244213
205,tavda,58.0425,65.2726,72.75,71,93,7.94,RU,1628244217
206,paranaiba,-19.6772,-51.1908,61.7,55,82,3.49,BR,1628244220
207,caravelas,-17.7125,-39.2481,70.66,69,55,10.58,BR,1628244227
208,natal,-5.795,-35.2094,73.62,83,75,8.05,BR,1628244000
209,hamilton,39.1834,-84.5333,67.71,93,40,0.0,US,1628244046
210,beinamar,8.6698,15.3813,81.16,70,100,6.87,TD,1628244240
211,grindavik,63.8424,-22.4338,57.56,100,90,3.44,IS,1628244243
212,faanui,-16.4833,-151.75,78.53,75,29,6.87,PF,1628244247
213,zhigansk,66.7697,123.3711,67.48,33,3,8.41,RU,1628244250
214,vardo,70.3705,31.1107,67.75,87,0,8.05,NO,1628244253
215,maceio,-9.6658,-35.7353,72.84,88,40,3.44,BR,1628244196
216,sayyan,15.1718,44.3244,74.12,32,52,0.94,YE,1628244260
217,ocampo,21.65,-101.5,57.49,86,100,5.59,MX,1628244264
218,lincoln,40.8,-96.667,74.01,79,63,1.99,US,1628244018
219,vila do maio,15.1333,-23.2167,77.79,82,100,10.65,CV,1628244270
220,college,64.8569,-147.8028,65.66,79,94,4.97,US,1628244018
221,olafsvik,64.8945,-23.7142,53.33,82,26,1.54,IS,1628244280
222,leh,34.1667,77.5833,70.93,21,42,6.91,IN,1628244283
223,tessalit,20.1986,1.0114,95.49,27,41,14.32,ML,1628244287
224,dawson creek,55.7666,-120.2362,54.64,88,95,5.97,CA,1628244290
225,saqqez,36.2499,46.2735,89.4,19,51,16.13,IR,1628244293
226,vrangel,42.7297,133.0839,76.78,92,87,2.19,RU,1628244297
227,taloqan,36.7361,69.5345,97.86,11,0,11.25,AF,1628244300
228,xining,36.6167,101.7667,66.67,59,67,5.95,CN,1628244304
229,atar,20.5169,-13.0499,97.27,15,29,6.24,MR,1628244307
230,roros,62.5747,11.3842,62.44,51,75,12.66,NO,1628244314
231,yanam,16.7333,82.2167,93.6,52,75,9.01,IN,1628244317
232,dunedin,-45.8742,170.5036,45.81,81,66,1.99,NZ,1628244320
233,luwuk,-0.9516,122.7875,77.99,90,92,6.78,ID,1628244324
234,khatanga,71.9667,102.5,73.45,26,38,13.89,RU,1628244327
235,paramonga,-10.6667,-77.8333,61.75,88,59,9.04,PE,1628244331
236,margate,51.3813,1.3862,69.04,75,46,8.01,GB,1628244334
237,tim,51.6222,37.1244,87.87,35,85,13.42,RU,1628244337
238,road town,18.4167,-64.6167,81.19,69,59,16.26,VG,1628244341
239,mayumba,-3.432,10.6554,77.54,74,28,6.42,GA,1628244344
240,namibe,-15.1961,12.1522,76.15,56,0,6.73,AO,1628244351
241,lavrentiya,65.5833,-171.0,48.52,92,100,7.09,RU,1628244354
242,jinchang,38.4953,102.1739,80.4,27,25,11.43,CN,1628244358
243,omsukchan,62.5333,155.8,43.32,81,72,7.76,RU,1628244361
244,shenjiamen,29.9576,122.298,80.53,88,28,11.95,CN,1628244364
245,semey,50.4111,80.2275,80.82,29,0,11.18,KZ,1628244368
246,gazli,40.1333,63.45,104.16,11,1,19.6,UZ,1628244372
247,monrovia,6.3005,-10.7969,85.77,65,100,7.47,LR,1628244375
248,altay,47.8667,88.1167,76.93,28,10,16.28,CN,1628244378
249,zhigalovo,54.8097,105.1578,73.51,48,89,7.58,RU,1628244382
250,champoton,19.35,-90.7167,74.98,81,96,7.45,MX,1628244385
251,moron,-34.6534,-58.6198,55.29,98,2,3.0,AR,1628244388
